2025-06-30T21:22:02: ℹ️ Queue Monitor starting up
2025-06-30T21:22:02: ✅ WhatsApp notifications enabled via Infobip
2025-06-30T21:22:02: ✅ Queue Monitor started
2025-06-30T21:22:02: ✅ Running in real-time mode with WhatsApp notifications
2025-06-30T21:22:02: (node:21528) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
2025-06-30T22:09:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:10:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:10:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:11:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:11:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:12:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:12:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:13:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:13:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:14:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:14:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:15:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:15:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:16:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:16:34: ℹ️ Found 9 active sessions and 0 people in queue
2025-06-30T22:17:05: ℹ️ Found 9 active sessions and 0 people in queue
2025-06-30T22:17:35: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:18:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:18:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:19:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:19:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:20:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:20:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:21:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T22:21:34: ℹ️ Found 11 active sessions and 0 people in queue
